U+2AA0B	𪨋	ntfd
U+2AA0C	𪨌	nuav
U+2AA0D	𪨍	nwwc
U+2AA0E	𪨎	nyek
U+2AA0F	𪨏	nhhe
U+2AA10	𪨐	nyuy
U+2AA11	𪨑	nylk
U+2AA12	𪨒	nakf
U+2AA13	𪨓	nykk
U+2AA14	𪨔	nbhq
U+2AA15	𪨕	ntfm
U+2AA16	𪨖	ntfl
U+2AA17	𪨗	nttj
U+2AA18	𪨘	nqak
U+2AA19	𪨙	ntff
U+2AA1A	𪨚	nuag
U+2AA1B	𪨛	nuaf
U+2AA1C	𪨜	nyts
U+2AA1D	𪨝	ntfj
U+2AA1E	𪨞	novh
U+2AA1F	𪨟	ntfj
U+2AA20	𪨠	novg
U+2AA21	𪨡	nfuh
U+2AA22	𪨢	mghu
U+2AA23	𪨣	mtnb
U+2AA24	𪨤	imj
U+2AA25	𪨥	mbn
U+2AA26	𪨦	mrnn
U+2AA27	𪨧	mwxb
U+2AA28	𪨨	myhy
U+2AA29	𪨩	mlnn
U+2AA2A	𪨪	mmmg
U+2AA2B	𪨫	mqtb
U+2AA2C	𪨬	myxy
U+2AA2D	𪨭	mxcy
U+2AA2E	𪨮	mxcu
U+2AA2F	𪨯	dnxm
U+2AA30	𪨰	mmag
U+2AA31	𪨱	mqiu
U+2AA32	𪨲	mrmj
U+2AA33	𪨳	mtgs
U+2AA34	𪨴	mriy
U+2AA35	𪨵	rfcm
U+2AA36	𪨶	mdlj
U+2AA37	𪨷	mgod
U+2AA38	𪨸	mkqw
U+2AA39	𪨹	mkmw
U+2AA3A	𪨺	muwc
U+2AA3B	𪨻	mdlf
U+2AA3C	𪨼	mdfi
U+2AA3D	𪨽	muxf
U+2AA3E	𪨾	mepc
U+2AA3F	𪨿	mojn
U+2AA40	𪩀	mntf
U+2AA41	𪩁	mbeg
U+2AA42	𪩂	mfmf
U+2AA43	𪩃	mjgh
U+2AA44	𪩄	mmtk
U+2AA45	𪩅	mrgf
U+2AA46	𪩆	mrhb
U+2AA47	𪩇	movf
U+2AA48	𪩈	mdty
U+2AA49	𪩉	mgef
U+2AA4A	𪩊	mldn
U+2AA4B	𪩋	mowv
U+2AA4C	𪩌	mxdm
U+2AA4D	𪩍	mgjf
U+2AA4E	𪩎	mmmv
U+2AA4F	𪩏	monx
U+2AA50	𪩐	mpwy
U+2AA51	𪩑	modn
U+2AA52	𪩒	mnug
U+2AA53	𪩓	magf
