U+3255D	𲕝	dgaj
U+3255E	𲕞	dngb
U+3255F	𲕟	kklg
U+32560	𲕠	kjvk
U+32561	𲕡	kjfi
U+32562	𲕢	klny
U+32563	𲕣	khwv
U+32564	𲕤	kaib
U+32565	𲕥	kavc
U+32566	𲕦	wskx
U+32567	𲕧	ktky
U+32568	𲕨	krfh
U+32569	𲕩	kwcy
U+3256A	𲕪	kejg
U+3256B	𲕫	kitq
U+3256C	𲕬	knwk
U+3256D	𲕭	kpyr
U+3256E	𲕮	kimk
U+3256F	𲕯	kidi
U+32570	𲕰	lkxb
U+32571	𲕱	kfgy
U+32572	𲕲	krkk
U+32573	𲕳	kmft
U+32574	𲕴	kmty
U+32575	𲕵	ktec
U+32576	𲕶	kwhw
U+32577	𲕷	kugw
U+32578	𲕸	kudp
U+32579	𲕹	oopk
U+3257A	𲕺	kyta
U+3257B	𲕻	knuq
U+3257C	𲕼	kitv
U+3257D	𲕽	kekk
U+3257E	𲕾	ngkw
U+3257F	𲕿	krub
U+32580	𲖀	krwy
U+32581	𲖁	kbmf
U+32582	𲖂	ksth
U+32583	𲖃	krbl
U+32584	𲖄	kraw
U+32585	𲖅	addl
U+32586	𲖆	kapg
U+32587	𲖇	kkgy
U+32588	𲖈	khac
U+32589	𲖉	kwxm
U+3258A	𲖊	kqkq
U+3258B	𲖋	kqtl
U+3258C	𲖌	ktck
U+3258D	𲖍	ktwf
U+3258E	𲖎	kugl
U+3258F	𲖏	kuve
U+32590	𲖐	utex
U+32591	𲖑	kypg
U+32592	𲖒	kykn
U+32593	𲖓	kymn
U+32594	𲖔	kiqh
U+32595	𲖕	kuqi
U+32596	𲖖	vgpx
U+32597	𲖗	knff
U+32598	𲖘	kbff
U+32599	𲖙	krtf
U+3259A	𲖚	kdng
U+3259B	𲖛	kfpc
U+3259C	𲖜	krkb
U+3259D	𲖝	krdi
U+3259E	𲖞	kayf
U+3259F	𲖟	kauk
U+325A0	𲖠	khhn
U+325A1	𲖡	kaje
U+325A2	𲖢	ktjh
U+325A3	𲖣	kwyc
U+325A4	𲖤	kkdm
U+325A5	𲖥	kwyy
U+325A6	𲖦	kwqs
U+325A7	𲖧	txki
U+325A8	𲖨	kysk
U+325A9	𲖩	kisg
U+325AA	𲖪	kouk
U+325AB	𲖫	knig
U+325AC	𲖬	kekm
U+325AD	𲖭	knfj
U+325AE	𲖮	kxyr
U+325AF	𲖯	kusy
U+325B0	𲖰	aqpx
