U+315B8	𱖸	dfaf
U+315B9	𱖹	fsww
U+315BA	𱖺	flgy
U+315BB	𱖻	hjwf
U+315BC	𱖼	fmty
U+315BD	𱖽	fkhn
U+315BE	𱖾	fhdd
U+315BF	𱖿	jcfh
U+315C0	𱗀	frgm
U+315C1	𱗁	wkkf
U+315C2	𱗂	fwfk
U+315C3	𱗃	fqaj
U+315C4	𱗄	rrff
U+315C5	𱗅	frde
U+315C6	𱗆	fwgr
U+315C7	𱗇	pyff
U+315C8	𱗈	ydyf
U+315C9	𱗉	fywe
U+315CA	𱗊	fbsk
U+315CB	𱗋	fakf
U+315CC	𱗌	fgkj
U+315CD	𱗍	fdhf
U+315CE	𱗎	fmxx
U+315CF	𱗏	fjtq
U+315D0	𱗐	jfwf
U+315D1	𱗑	fjtf
U+315D2	𱗒	fhag
U+315D3	𱗓	jcfi
U+315D4	𱗔	fqvn
U+315D5	𱗕	toff
U+315D6	𱗖	fukn
U+315D7	𱗗	foug
U+315D8	𱗘	btaf
U+315D9	𱗙	fnhc
U+315DA	𱗚	fcee
U+315DB	𱗛	fddc
U+315DC	𱗜	fdfk
U+315DD	𱗝	fbcc
U+315DE	𱗞	fmeg
U+315DF	𱗟	flwc
U+315E0	𱗠	fhan
U+315E1	𱗡	fhay
U+315E2	𱗢	fjiq
U+315E3	𱗣	wcnf
U+315E4	𱗤	frdf
U+315E5	𱗥	fqye
U+315E6	𱗦	fere
U+315E7	𱗧	iahf
U+315E8	𱗨	fyon
U+315E9	𱗩	fvep
U+315EA	𱗪	fwhf
U+315EB	𱗫	fffn
U+315EC	𱗬	dhfu
U+315ED	𱗭	fogk
U+315EE	𱗮	fhaw
U+315EF	𱗯	fwgf
U+315F0	𱗰	ftmq
U+315F1	𱗱	fmfe
U+315F2	𱗲	fthk
U+315F3	𱗳	ykbf
U+315F4	𱗴	fdhf
U+315F5	𱗵	dgef
U+315F6	𱗶	ffwj
U+315F7	𱗷	jjjf
U+315F8	𱗸	fjbc
U+315F9	𱗹	funy
U+315FA	𱗺	fhxi
U+315FB	𱗻	flfo
U+315FC	𱗼	tfaa
U+315FD	𱗽	fwyp
U+315FE	𱗾	wwfh
U+315FF	𱗿	fpjh
U+31600	𱘀	fyct
U+31601	𱘁	ykif
U+31602	𱘂	vdaf
U+31603	𱘃	fxjm
U+31604	𱘄	aqkf
U+31605	𱘅	fkhk
U+31606	𱘆	fqeg
U+31607	𱘇	frfp
U+31608	𱘈	ipgf
U+31609	𱘉	foui
U+3160A	𱘊	fovt
U+3160B	𱘋	fdqq
U+3160C	𱘌	jcfw
U+3160D	𱘍	fhde
U+3160E	𱘎	fqve
U+3160F	𱘏	fpxm
U+31610	𱘐	futy
U+31611	𱘑	fpwi
U+31612	𱘒	fnup
U+31613	𱘓	fjfo
U+31614	𱘔	fboh
U+31615	𱘕	fgmh
U+31616	𱘖	ktkc
U+31617	𱘗	ftun
U+31618	𱘘	fugi
U+31619	𱘙	iutf
U+3161A	𱘚	xxgf
U+3161B	𱘛	fyoo
U+3161C	𱘜	akkf
U+3161D	𱘝	fiay
U+3161E	𱘞	fyxs
U+3161F	𱘟	ffkw
U+31620	𱘠	fnyf
U+31621	𱘡	fpgg
U+31622	𱘢	fnpi
U+31623	𱘣	twyc
U+31624	𱘤	dept
U+31625	𱘥	obwt
U+31626	𱘦	qvt
U+31627	𱘧	wgsq
U+31628	𱘨	pegq
U+31629	𱘩	ywtk
U+3162A	𱘪	ehqq
U+3162B	𱘫	jffq
U+3162C	𱘬	djeq
U+3162D	𱘭	diu
U+3162E	𱘮	dyr
U+3162F	𱘯	skdy
U+31630	𱘰	didu
